title:S14, start timestamp:1618379031.226955, stop timestamp:1618379142.242201, headset type:INSIGHT, headset serial:A2D202F3, headset firmware:932, channels:40, sampling rate:eeg_128;mot_64, samples:14210     , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1618379031.226955,82.000000,0.000000,4168.205078,4169.743652,4128.205078,4104.615234,4164.615234,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,41.000000,0.000000,0.302544,0.581299,0.289307,-0.697754,0.996109,0.052735,-0.165530,-13.552717,7.502225,59.814682
1618379031.234872,83.000000,0.000000,4180.000000,4178.461426,4134.358887,4114.358887,4176.410156,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.242690,84.000000,0.000000,4188.717773,4183.589844,4129.743652,4118.461426,4182.563965,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,42.000000,0.000000,0.302544,0.581299,0.289307,-0.697754,0.997574,0.042481,-0.166995,-13.752645,9.982033,60.353088
1618379031.250507,85.000000,0.000000,4185.641113,4177.436035,4126.153809,4116.922852,4180.512695,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.258325,86.000000,0.000000,4178.974121,4170.256348,4126.153809,4114.871582,4175.384766,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,43.000000,0.000000,0.301980,0.581299,0.289307,-0.697998,0.998550,0.048341,-0.167483,-13.633503,8.325860,60.777840
1618379031.266142,87.000000,0.000000,4181.538574,4176.410156,4124.615234,4116.410156,4173.333496,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.274061,88.000000,0.000000,4181.025879,4177.948730,4124.102539,4112.820313,4171.282227,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,44.000000,0.000000,0.302544,0.581299,0.289307,-0.697754,0.996109,0.052735,-0.165530,-13.645906,10.783119,59.246025
1618379031.281879,89.000000,0.000000,4159.487305,4165.128418,4120.512695,4091.794922,4150.769043,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.289698,90.000000,0.000000,4149.743652,4159.487305,4109.743652,4072.820557,4133.333496,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,45.000000,0.000000,0.301980,0.581299,0.289307,-0.697998,0.998550,0.048341,-0.167483,-13.537438,9.046839,59.781479
1618379031.297517,91.000000,0.000000,4172.820313,4168.717773,4114.358887,4086.666748,4151.282227,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.305336,92.000000,0.000000,4196.410156,4175.384766,4134.871582,4113.846191,4174.871582,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,46.000000,0.000000,0.302544,0.581299,0.289307,-0.697754,0.986343,0.047364,-0.154299,-13.559448,7.484186,60.263393
1618379031.313154,93.000000,0.000000,4200.512695,4173.333496,4144.102539,4122.051270,4175.897461,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.320973,94.000000,0.000000,4195.897461,4170.769043,4139.487305,4116.410156,4171.282227,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,47.000000,0.000000,0.301980,0.581299,0.289307,-0.697998,0.999039,0.045899,-0.155276,-13.459626,9.786350,58.842834
1618379031.328792,95.000000,0.000000,4194.358887,4176.410156,4135.897461,4117.436035,4173.333496,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.336610,96.000000,0.000000,4198.461426,4184.102539,4135.897461,4121.538574,4182.051270,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,48.000000,0.000000,0.301746,0.581299,0.289551,-0.697998,0.995621,0.058595,-0.164065,-13.429602,11.798484,59.358795
1618379031.344529,97.000000,0.000000,4202.051270,4180.000000,4135.897461,4121.538574,4189.230957,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.352348,98.000000,0.000000,4197.436035,4170.256348,4130.256348,4120.000000,4182.563965,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,49.000000,0.000000,0.301746,0.581299,0.289551,-0.697998,0.995621,0.052247,-0.158694,-13.342764,13.908481,59.823162
1618379031.360166,99.000000,0.000000,4193.846191,4166.666504,4124.102539,4115.384766,4173.333496,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.367985,100.000000,0.000000,4196.922852,4172.307617,4127.179688,4117.436035,4181.538574,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,50.000000,0.000000,0.302216,0.581055,0.289551,-0.697998,0.999039,0.054200,-0.172854,-13.324426,11.799849,60.121460
1618379031.375804,101.000000,0.000000,4194.871582,4175.384766,4129.230957,4119.487305,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.383622,102.000000,0.000000,4192.307617,4169.743652,4128.717773,4111.794922,4183.589844,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,51.000000,0.000000,0.301652,0.581055,0.289551,-0.698242,0.975113,0.044434,-0.174807,-13.427552,9.902079,60.509556
1618379031.391441,103.000000,0.000000,4206.153809,4172.820313,4132.820313,4114.871582,4184.102539,16232.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.399260,104.000000,0.000000,4217.948730,4185.641113,4140.000000,4127.692383,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,52.000000,0.000000,0.301887,0.580811,0.289795,-0.698242,0.999039,0.055177,-0.168948,-13.460550,11.962455,60.799030
1618379031.407179,105.000000,1.000000,4217.500000,4187.115234,4140.577148,4128.012695,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.414998,106.000000,1.000000,4217.051270,4188.589844,4141.153809,4128.333496,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,53.000000,1.000000,0.000000,0.580872,0.289795,-0.698242,0.997208,0.051881,0.000000,0.000000,0.000000,0.000000
1618379031.422817,107.000000,1.000000,4216.602539,4190.063965,4141.730957,4128.653809,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
1618379031.430636,108.000000,1.000000,4216.153809,4191.538574,4142.307617,4128.974121,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,54.000000,1.000000,0.000000,0.580933,0.289795,-0.698242,0.995377,0.048585,0.000000,0.000000,0.000000,0.000000
1618379031.438456,109.000000,1.000000,4215.705078,4193.012695,4142.884766,4129.294922,4189.743652,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,
